Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
14-06 23:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 04:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
15-06 05:00,0.6,0.0,0.0,0.0,0.6000000238418579,0,0,0,0
15-06 06:00,2.3,0.0,0.0,0.0,2.4000000953674316,0,0,0,0
15-06 07:00,5.0,0.0,0.0,0.0,5.0,0,0,0,0
15-06 08:00,8.8,0.0,0.0,0.0,8.800000190734863,0,0,0,0
15-06 09:00,12.2,0.0,0.0,0.0,12.199999809265137,0,0,0,0
15-06 10:00,13.5,0.0,0.0,0.0,13.5,0,0,0,0
15-06 11:00,14.6,0.0,0.0,0.0,14.600000381469727,0,0,0,0
15-06 12:00,13.9,0.0,0.0,0.0,13.899999618530273,0,0,0,0
15-06 13:00,12.2,0.0,0.0,0.0,12.199999809265137,0,0,0,0
15-06 14:00,10.1,0.0,0.0,0.0,10.100000381469727,0,0,0,0
15-06 15:00,8.1,0.0,0.0,0.0,8.100000381469727,0,0,0,0
15-06 16:00,6.4,0.0,0.0,0.0,6.400000095367432,0,0,0,0
15-06 17:00,1.8,0.0,0.0,0.0,1.7999999523162842,0,0,0,0
15-06 18:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
15-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
