Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
30-05 23:00,45.6,0.0,0.0,44.79999923706055,0.800000011920929,0,0,0,0
31-05 00:00,32.3,0.0,0.0,31.399999618530273,0.8999999761581421,0,0,0,0
31-05 01:00,32.0,0.0,0.0,31.100000381469727,0.8999999761581421,0,0,0,0
31-05 02:00,40.1,0.0,0.0,39.20000076293945,0.8999999761581421,0,0,0,0
31-05 03:00,48.8,0.0,0.0,47.900001525878906,0.8999999761581421,0,0,0,0
31-05 04:00,55.0,0.0,0.0,54.099998474121094,0.800000011920929,0,0,0,0
31-05 05:00,49.2,0.0,0.0,48.29999923706055,0.8999999761581421,0,0,0,0
31-05 06:00,45.0,0.0,0.0,44.099998474121094,0.8999999761581421,0,0,0,0
31-05 07:00,33.1,0.0,0.0,32.29999923706055,0.800000011920929,0,0,0,0
31-05 08:00,30.4,0.0,0.0,29.399999618530273,1.0,0,0,0,0
31-05 09:00,20.6,0.0,0.0,19.399999618530273,1.2000000476837158,0,0,0,0
31-05 10:00,13.9,0.0,0.0,12.399999618530273,1.5,0,0,0,0
31-05 11:00,13.7,0.0,0.0,12.100000381469727,1.600000023841858,0,0,0,0
31-05 12:00,12.4,0.0,0.0,11.0,1.399999976158142,0,0,0,0
31-05 13:00,12.2,0.0,0.0,10.899999618530273,1.2999999523162842,0,0,0,0
31-05 14:00,11.7,0.0,0.0,10.5,1.2000000476837158,0,0,0,0
31-05 15:00,12.2,0.0,0.0,11.0,1.2000000476837158,0,0,0,0
31-05 16:00,18.4,0.0,0.0,17.399999618530273,1.0,0,0,0,0
31-05 17:00,10.8,0.0,0.0,9.899999618530273,0.8999999761581421,0,0,0,0
31-05 18:00,12.3,0.0,0.0,11.5,0.800000011920929,0,0,0,0
31-05 19:00,19.4,0.0,0.0,18.5,0.800000011920929,0,0,0,0
31-05 20:00,26.3,0.0,0.0,25.399999618530273,0.800000011920929,0,0,0,0
31-05 21:00,25.9,0.0,0.0,25.100000381469727,0.800000011920929,0,0,0,0
31-05 22:00,28.6,0.0,0.0,27.700000762939453,0.8999999761581421,0,0,0,0
31-05 23:00,28.4,0.0,0.0,27.600000381469727,0.800000011920929,0,0,0,0
01-06 00:00,25.7,0.0,0.0,24.899999618530273,0.800000011920929,0,0,0,0
01-06 01:00,27.9,0.0,0.0,27.100000381469727,0.800000011920929,0,0,0,0
01-06 02:00,28.9,0.0,0.0,28.0,0.8999999761581421,0,0,0,0
01-06 03:00,26.8,0.0,0.0,25.899999618530273,0.800000011920929,0,0,0,0
01-06 04:00,22.0,0.0,0.0,21.200000762939453,0.800000011920929,0,0,0,0
01-06 05:00,12.0,0.0,0.0,11.199999809265137,0.800000011920929,0,0,0,0
01-06 06:00,22.1,0.0,0.0,21.0,1.100000023841858,0,0,0,0
01-06 07:00,16.6,0.0,0.0,14.100000381469727,2.5,0,0,0,0
01-06 08:00,11.4,0.0,0.0,6.900000095367432,4.5,0,0,0,0
01-06 09:00,12.3,0.0,0.0,6.199999809265137,6.0,0,0,0,0
01-06 10:00,13.9,0.0,0.0,6.400000095367432,7.5,0,0,0,0
01-06 11:00,14.0,0.0,0.0,6.300000190734863,7.699999809265137,0,0,0,0
01-06 12:00,13.7,0.0,0.0,6.5,7.199999809265137,0,0,0,0
01-06 13:00,11.8,0.0,0.0,5.699999809265137,6.0,0,0,0,0
01-06 14:00,13.3,0.0,0.0,6.599999904632568,6.699999809265137,0,0,0,0
01-06 15:00,11.6,0.0,0.0,6.0,5.599999904632568,0,0,0,0
