Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
14-10 20:00,81.7,0.0,0.0,72.30000305175781,9.399999618530273,0,0,0,0
14-10 21:00,79.2,0.0,0.0,72.80000305175781,6.400000095367432,0,0,0,0
14-10 22:00,38.7,0.0,0.0,34.0,4.599999904632568,0,0,0,0
14-10 23:00,32.4,0.0,0.0,28.200000762939453,4.199999809265137,0,0,0,0
15-10 00:00,39.8,0.0,0.0,35.099998474121094,4.699999809265137,0,0,0,0
15-10 01:00,31.7,0.0,0.0,27.5,4.199999809265137,0,0,0,0
15-10 02:00,30.3,0.0,0.0,27.799999237060547,2.4000000953674316,0,0,0,0
15-10 03:00,31.9,0.0,0.0,29.399999618530273,2.5,0,0,0,0
15-10 04:00,46.9,0.0,0.0,42.5,4.400000095367432,0,0,0,0
15-10 05:00,81.8,0.0,0.0,68.80000305175781,13.0,0,0,0,0
15-10 06:00,122.8,0.0,0.0,88.9000015258789,33.900001525878906,0,0,0,0
15-10 07:00,121.8,0.0,0.0,83.5999984741211,38.20000076293945,0,0,0,0
15-10 08:00,100.7,0.0,0.0,66.80000305175781,33.900001525878906,0,0,0,0
15-10 09:00,91.5,0.0,0.0,61.099998474121094,30.399999618530273,0,0,0,0
15-10 10:00,69.4,0.0,0.0,47.599998474121094,21.799999237060547,0,0,0,0
15-10 11:00,65.8,0.0,0.0,44.20000076293945,21.600000381469727,0,0,0,0
15-10 12:00,76.4,0.0,0.0,54.79999923706055,21.600000381469727,0,0,0,0
15-10 13:00,83.6,0.0,0.0,64.30000305175781,19.299999237060547,0,0,0,0
15-10 14:00,81.2,0.0,0.0,63.0,18.200000762939453,0,0,0,0
15-10 15:00,90.0,0.0,0.0,72.0,17.799999237060547,0,0,0,0
15-10 16:00,86.5,0.0,0.0,68.9000015258789,17.600000381469727,0,0,0,0
15-10 17:00,106.6,0.0,0.0,91.0999984741211,15.5,0,0,0,0
15-10 18:00,101.4,0.0,0.0,88.30000305175781,13.100000381469727,0,0,0,0
15-10 19:00,111.3,0.0,0.0,98.4000015258789,12.800000190734863,0,0,0,0
15-10 20:00,126.2,0.0,0.0,114.69999694824219,11.5,0,0,0,0
15-10 21:00,127.1,0.0,0.0,119.19999694824219,7.900000095367432,0,0,0,0
15-10 22:00,88.2,0.0,0.0,82.5,5.599999904632568,0,0,0,0
15-10 23:00,83.6,0.0,0.0,78.5,5.0,0,0,0,0
16-10 00:00,83.1,0.0,0.0,78.5,4.599999904632568,0,0,0,0
16-10 01:00,83.6,0.0,0.0,78.9000015258789,4.699999809265137,0,0,0,0
16-10 02:00,82.7,0.0,0.0,80.19999694824219,2.5,0,0,0,0
16-10 03:00,90.5,0.0,0.0,88.0,2.5,0,0,0,0
16-10 04:00,104.1,0.0,0.0,99.9000015258789,4.199999809265137,0,0,0,0
16-10 05:00,134.6,0.0,0.0,122.30000305175781,12.300000190734863,0,0,0,0
16-10 06:00,191.8,0.0,0.0,156.10000610351562,35.70000076293945,0,0,0,0
16-10 07:00,170.3,0.0,0.0,136.3000030517578,34.0,0,0,0,0
16-10 08:00,152.9,0.0,0.0,119.30000305175781,33.599998474121094,0,0,0,0
16-10 09:00,142.1,0.0,0.0,108.5,33.599998474121094,0,0,0,0
16-10 10:00,116.5,0.0,0.0,91.69999694824219,24.799999237060547,0,0,0,0
16-10 11:00,98.8,0.0,0.0,77.9000015258789,20.899999618530273,0,0,0,0
